id,Outcome,Type_of_outcome,First_Author,publication_year,population,nationality,job_role,study_design,time_points,intervention,intervention_class,Comparison Group,n_intervention,n_control,effect_measure,effect_size,lower_ci,upper_ci,p_value,n_outcome_intervention_binary_beginning,n_outcome _intervention_binary_final,n_outcomes_binary_control_begin,n_outcomes_binary_control_end ,mean_continuous_intervention_begin ,mean_continuous_intervention_end ,mean_continuous_ctrl_begin,mean_continuous_ctrl_end,scale_metric_outcome,industry_setting,study_duration,assessed_quality 
Baccarani_2013_2,Psychological Vitality,Psychological Vitality Enhancement,Claudio Baccarani,2013,Tasmanian State Service Employees,not mentioned," junior and
senior managers",randomized controlled design,2 (Pre-task & Post-intervention),seated meditation as well as dynamic techniques consisting in simple movements linked to breathing.,,Wait list Control,Wave 1 = 10; Wave 2 = 10,Wave 1 = 10; Wave 2 = 10,difference between the improvements of the two groups,,,24.22 vs -1.63,p = .0093,NA,NA,NA,NA,12.8,15.9,12.3,12.1,Psychological General Well-Being Index,junior and senior managers at the University of Verona,4 weeks,
Baccarani_2013_1,Psychological General Well- Being,Psychological General Well- Being Enhancement,Claudio Baccarani,2013,,not mentioned," junior and
senior managers",randomized controlled design,2 (Pre-task & Post-intervention),seated meditation as well as dynamic techniques consisting in simple movements linked to breathing.,,Wait list Control,Wave 1 = 10; Wave 2 = 10,Wave 1 = 10; Wave 2 = 10,difference between the improvements of the two groups,,,17.89 vs 1.69,p = .0026,NA,NA,NA,NA,76,89.6,71.8,73,Psychological General Well-Being Index,junior and senior managers at the University of Verona,4 weeks,
Arredondo_2017_3,Emotional Exhaustion,Emotional Exhaustion reduction  ,M. Arredondo,2017,,Spanish,active employees from the TFS Barcelona’s office,"interventional, randomised and controlled
study","3 (baseline, 8 weeks, 20 weeks)","mindfulness program implemented in this study is based on brief integrated mindfulness practices (M-PBI), which includes compassion practices - 8 weeks training consisting of 8 sessions",Secondary,Control,Wave 1 = 21; Wave 2 = 19; Wave 3 = 17,Wave 1 = 19; Wave 2 = 17; Wave 3 = 16,Median Difference (intervention vs. control groups),-1 (intervention) vs 0 (control)',-1.4,-0.4,p = 0.0014,NA,NA,NA,NA,2.8 (median - baseline),1.6 (median - 20 weeks),2.8 (median - baseline),2.5 (median - 20 weeks),Maslach Burnout Inventory-General Survey,"private international clinical research organization company, Trial Form Support (TFS)",20 weeks,
Arredondo_2017_2,Emotional Exhaustion,Emotional Exhaustion reduction  ,M. Arredondo,2017,,Spanish,active employees from the TFS Barcelona’s office,"interventional, randomised and controlled
study","3 (baseline, 8 weeks, 20 weeks)","mindfulness program implemented in this study is based on brief integrated mindfulness practices (M-PBI), which includes compassion practices - 8 weeks training consisting of 8 sessions",Secondary,Control,Wave 1 = 21; Wave 2 = 19; Wave 3 = 17,Wave 1 = 19; Wave 2 = 17; Wave 3 = 16,Cohens d,0.47,,,p > .05,NA,NA,NA,NA,2.8 (median - baseline),1.6 (median - 20 weeks),2.8 (median - baseline),2.5 (median - 20 weeks),Maslach Burnout Inventory-General Survey,"private international clinical research organization company, Trial Form Support (TFS)",20 weeks,
Arredondo_2017_1,Stress,Stress reduction,M. Arredondo,2017,administrative personnel,Spanish,active employees from the TFS Barcelona’s office,"interventional, randomised and controlled
study","3 (baseline, 8 weeks, 20 weeks)","mindfulness program implemented in this study is based on brief integrated mindfulness practices (M-PBI), which includes compassion practices - 8 weeks training consisting of 8 sessions",Secondary,Control,Wave 1 = 21; Wave 2 = 19; Wave 3 = 17,Wave 1 = 19; Wave 2 = 17; Wave 3 = 16,Cohens d,1.5104,not mentioned ,not mentioned ,p = 0.001,NA,NA,NA,NA,19 (median - 8weeks),18 (median - 20 weeks),28 (median - 8 weeks),30 (median - 20 weeks),Perceived Stress Scale,"private international clinical research organization company, Trial Form Support (TFS)",20 weeks,
Arora_2011_1,Subjective Stress,Subjective Stress reduction,Sonal Arora,2011,administrative personnel,,novice surgeons,"prospective, randomized controlled design",2 (Pre-task & Post-task),training on an evidence-based virtual reality (VR) curriculum,Secondary,Control   ,Wave 1 = 10; Wave 2 = 9,Wave 1 = 10; Wave 2 = 9,Median,8.33,not mentioned ,not mentioned ,p < .001.,NA,NA,NA,NA,9 (Median),6 (Median),12 (Median),10 (Median),State Trait Anxiety Inventory,University Hospital,5 days,
Hunter_2016_1,,,Ruth F. Hunter,2016,Employee (volunteers),Northern Ireland,predominantly office-based occupations,cluster randomised control trial,"3 (baseline, 6 months, 12 months)","Physical Activity Loyalty (PAL) scheme - provision of ‘points’ and rewards (financial incentives) contingent on meeting targeted physical activity behaviour goals (extrinsic motivation, goal-setting).",,Wait list control,Wave 1 = 457; Wave 2 = 249; Wave 3 = 210,Wave 1 = 396; Wave 2 = 236; Wave 3 = 180,"Adjusted Mean Difference (ANCOVA comparison of 6 month/12 month means in Intervention vs Control Group adjusted for baseline values of the outcome, randomisation stratum and
season and corrected for clustering)",1.34,0.48,2.2,< .01,NA,NA,NA,NA,50.3,not mentioned ,50.2,not mentioned ,Warwick-Edinburgh Mental Wellbeing Scale,"public sector employees involved in predominantly office-based occupations whose workplace is within Belfast or Lisburn City Centres, Northern Ireland",12 months,
Joyce_2019_2,Bounce back Resilience,Bounce back Resilience Enhancement,Sadhbh Joyce,2019,Employee (volunteers),Australian - New South Wales, full-time firefighters,cluster randomized controlled trial (RCT) comprising 24 Primary Fire and Rescue and Hazmat stations within New South Wales,"3 (baseline, 6 weeks, 6 months)","internet based mindfulness-based resilience training (6 online training sessions. Each session takes about 20 to 25 min to complete. A combination of interactive exercises, audio, and animation is used to teach resilience skills.)",Secondary,Control,Wave 1 = 60; Wave 2 = 41; Wave 3 = 32,Wave 1 = 83; Wave 2 = 38; Wave 3 = 36,Average Change in Resilience score,not mentioned ,not mentioned ,not mentioned ,0.09,NA,NA,NA,NA,not mentioned ,not mentioned ,not mentioned ,not mentioned ,6-item Brief Resilience Scale,Emergency First Responders - full-time firefighters working in the 24 Primary Rescue and Hazmat Stations,6 months,
Joyce_2019_1,Psychological Resilience,Psychological Resilience Enhancement,Sadhbh Joyce,2019,Employee (volunteers),Australian - New South Wales,full-time firefighters,cluster randomized controlled trial (RCT) comprising 24 Primary Fire and Rescue and Hazmat stations within New South Wales,"3 (baseline, 6 weeks, 6 months)","internet based mindfulness-based resilience training (6 online training sessions. Each session takes about 20 to 25 min to complete. A combination of interactive exercises, audio, and animation is used to teach resilience skills.)",Secondary,Control,Wave 1 = 60; Wave 2 = 41; Wave 3 = 32,Wave 1 = 83; Wave 2 = 38; Wave 3 = 36,Average Change in Resilience score,1.3,not mentioned ,not mentioned ,0.02,NA,NA,NA,NA,.58 (Change at T2),1.34 (Change at T3),-1.03,-1.78, Connor-Davidson Resilience Scale,Emergency First Responders - full-time firefighters working in the 24 Primary Rescue and Hazmat Stations,6 months,
Allexandre_2016_4,Vitality,Vitality enhancement,Didier Allexandre,2016,Medical Practitioner - Surgeons,American,"debt collectors, and customer service or fraud representatives.","1-year, randomized controlled trial with
three interventional arms (WSM, WSMg1, and WSMg2) and a waitlist
control group (CTL)","4 (Baseline, 8 Wks, 16 Wks, 1 Yr)","8-week online, interactive, educational
program based on mindfulness meditation.",Secondary,Wait list control,Wave 1 = 124; Wave 2 = 77; Wave 3 = 61; Wave 4 = 41 ,Wave 1 = 37; Wave 2 = 24; Wave 3 = 18,F value,3.46,Not mentioned,Not mentioned,0.002,NA,NA,NA,NA,30.9,54.5,28.8,31.1,"Subscale of the RAND Corporation’s Medical Outcomes Study Short Form-36
","Call centre employees - employees needed regular Internet access, Managers and supervisors were excluded",1 year,
Allexandre_2016_3,Emotional wellbeing,Emotional wellbeing enhancement,Didier Allexandre,2016,public sector employees,American,"debt collectors, and customer service or fraud representatives.","1-year, randomized controlled trial with
three interventional arms (WSM, WSMg1, and WSMg2) and a waitlist
control group (CTL)","4 (Baseline, 8 Wks, 16 Wks, 1 Yr)","8-week online, interactive, educational
program based on mindfulness meditation.",Secondary,Wait list control,Wave 1 = 124; Wave 2 = 77; Wave 3 = 61; Wave 4 = 41 ,Wave 1 = 37; Wave 2 = 24; Wave 3 = 18,F value,5.32,Not mentioned,Not mentioned,0.0001,NA,NA,NA,NA,53,74.2,48.4,45.1,"Subscale of the RAND Corporation’s Medical Outcomes Study Short Form-36
","Call centre employees - employees needed regular Internet access, Managers and supervisors were excluded",1 year,
Allexandre_2016_2,Emotional exhaustion,Emotional exhaustion reduction,Didier Allexandre,2016,First Responders - Fire and Rescue,American,"debt collectors, and customer service or fraud representatives.","1-year, randomized controlled trial with
three interventional arms (WSM, WSMg1, and WSMg2) and a waitlist
control group (CTL)","4 (Baseline, 8 Wks, 16 Wks, 1 Yr)","8-week online, interactive, educational
program based on mindfulness meditation.",Secondary,Wait list control,Wave 1 = 124; Wave 2 = 77; Wave 3 = 61; Wave 4 = 41 ,Wave 1 = 37; Wave 2 = 25; Wave 3 = 19 ,F value,1.58,Not mentioned,Not mentioned,0.15,NA,NA,NA,NA,3.83,2.52,3.74,3.62,"Maslach Burnout Inventory –
Exhaustion Subscale","Call centre employees - employees needed regular Internet access, Managers and supervisors were excluded",1 year,
Allexandre_2016_1,Perceived Stress,Perceived Stress reduction,Didier Allexandre,2016,First Responders - Fire and Rescue,American,"debt collectors, and customer service or fraud representatives.","1-year, randomized controlled trial with
three interventional arms (WSM, WSMg1, and WSMg2) and a waitlist
control group (CTL)","4 (Baseline, 8 Wks, 16 Wks, 1 Yr)","8-week online, interactive, educational
program based on mindfulness meditation.",Secondary,Wait list control,Wave 1 = 124; Wave 2 = 77; Wave 3 = 61; Wave 4 = 41 ,Wave 1 = 37; Wave 2 = 25; Wave 3 = 20 ,F value,4.19,Not mentioned,Not mentioned,0.0004,NA,NA,NA,NA,24.5,14.4,25.4,22.5,Perceived Stress Scale,"Call centre employees - employees needed regular Internet access, Managers and supervisors were excluded",1 year,
Ali_2011_2,Job Distress,Job Distress Reduction,Naeem A. Ali,2011,Blue collarr Employees (Call Centre),, Intensivist,"cluster-randomized, alternating
trial of two intensivist staffing schedules",,Comparison of two intensivist staffing schedules - Interrupted Schedule & Continuous Schedule,Primary,,,,Adjusted Mean difference,1.52,0.83,2.22,< .0001,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,"Job distress, was measured using scales derived from the National Study of the Changing Workforce, a survey of United States workers performed by the Families and Work Institute, and formerly by the U.S. Department of Labor",,15 months,
Ali_2011_1,Burnout,Burnout Reduction,Naeem A. Ali,2011,Blue collarr Employees (Call Centre),, Intensivist,"cluster-randomized, alternating
trial of two intensivist staffing schedules",,Comparison of two intensivist staffing schedules - Interrupted Schedule & Continuous Schedule,Primary,,,,Adjusted Mean difference,2.77,0.97,4.58,0.003,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,"Job burnout, was measured using scales derived from the National Study of the Changing Workforce, a survey of United States workers performed by the Families and Work Institute, and formerly by the U.S. Department of Labor",,15 months,
Alexopoulos_2014_1,Perceived Stress,Perceived Stress Reduction,Evangelos C Alexopoulos,2014,Blue collarr Employees (Call Centre),,Employees   ,two-arm parallel group randomized controlled trial,2,Education in certain relaxation techniques within a stress management and healthy lifestyle program for 8 weeks,Secondary,Wait list control group,Wave 1 = 80; Wave 2 = 68,Wave 1 = 72; Wave 2 = 59,Mean difference (end - beginning) ,,,,,87.90%,80.30%,not mentioned,not mentioned,Median = 27.5,Median = 25,Median = 23,Median = 24,Perceived Stress Scale ,Office Personnel - White collar employees,8 weeks,
Brinkley_2017_4,occupational fatigue,occupational fatigue reduction,Andrew Brinkley,2017, employees at the University of Western Sydney,,Employees   ,non-randomised study (quasi-experimental design),2 (pre and post intervention),Changing the Game - 12 weekly 1-h lunchtime moderateintensity team sport sessions in an indoor sports hall,Secondary,Control,Wave 1 = 28 ; Wave 2 = 20,Wave 1 = 20 ; Wave 2 = 20,F value,0.025,,,p > .05,NA,NA,NA,NA,66.57,69.49,76.82,80.45,Need for Recovery Scale,"comprised two regional worksites from the same large service organisation (located an estimated 130 km apart). 12 weekly 1-h lunchtime moderateintensity team sport sessions in an indoor sports hall (30 m × 18 m) located 400 m from the participating organisation. The sessions included a 10-min warm-up and familiarisation period, and a 40-min game (breaks given when requested by participants). The sports were chosen by the research team due to their moderate-intensity, transferability of skills and adaptability.",12 weeks,
Brinkley_2017_3,Stress,stress reduction,Andrew Brinkley,2017, employees at the University of Western Sydney,,Employees   ,non-randomised study (quasi-experimental design),2 (pre and post intervention),Changing the Game - 12 weekly 1-h lunchtime moderateintensity team sport sessions in an indoor sports hall,Secondary,Control,Wave 1 = 28 ; Wave 2 = 20,Wave 1 = 20 ; Wave 2 = 20,F value,1.298,,,p > .05,NA,NA,NA,NA,64.95,68.97,71.87,70.62,Perceived Stress Scale,"comprised two regional worksites from the same large service organisation (located an estimated 130 km apart). 12 weekly 1-h lunchtime moderateintensity team sport sessions in an indoor sports hall (30 m × 18 m) located 400 m from the participating organisation. The sessions included a 10-min warm-up and familiarisation period, and a 40-min game (breaks given when requested by participants). The sports were chosen by the research team due to their moderate-intensity, transferability of skills and adaptability.",12 weeks,
Brinkley_2017_2,Quality of Life,Quality of Life enhancement,Andrew Brinkley,2017, employees at the University of Western Sydney,,Employees   ,non-randomised study (quasi-experimental design),2 (pre and post intervention),Changing the Game - 12 weekly 1-h lunchtime moderateintensity team sport sessions in an indoor sports hall,Secondary,Control,Wave 1 = 28 ; Wave 2 = 20,Wave 1 = 20 ; Wave 2 = 20,F value,0.136,,,p > .05,NA,NA,NA,NA,68.57,69.69,74.42,71.24,Satisfaction with Life Scale,"comprised two regional worksites from the same large service organisation (located an estimated 130 km apart). 12 weekly 1-h lunchtime moderateintensity team sport sessions in an indoor sports hall (30 m × 18 m) located 400 m from the participating organisation. The sessions included a 10-min warm-up and familiarisation period, and a 40-min game (breaks given when requested by participants). The sports were chosen by the research team due to their moderate-intensity, transferability of skills and adaptability.",12 weeks,
Brinkley_2017_1,Subjective Vitality ,Subjective Vitality enhancement,Andrew Brinkley,2017,Engineering firm employees,,Employees   ,non-randomised study (quasi-experimental design),2 (pre and post intervention),Changing the Game - 12 weekly 1-h lunchtime moderateintensity team sport sessions in an indoor sports hall,Secondary,Control,Wave 1 = 28 ; Wave 2 = 20,Wave 1 = 20 ; Wave 2 = 20,F value,0.437,,,p > .05,NA,NA,NA,NA,71.41,72.4,70.86,73.62,Subjective Vitality Scale,"comprised two regional worksites from the same large service organisation (located an estimated 130 km apart). 12 weekly 1-h lunchtime moderateintensity team sport sessions in an indoor sports hall (30 m × 18 m) located 400 m from the participating organisation. The sessions included a 10-min warm-up and familiarisation period, and a 40-min game (breaks given when requested by participants). The sports were chosen by the research team due to their moderate-intensity, transferability of skills and adaptability.",12 weeks,
Bretland_2015_7b,Fatigue,Fatigue reduction,Rachel Judith Bretland,2015,Employees of a services organisation listed on the Financial Times and London Stock Exchange (FTSE) 100 located in the UK,not mentioned,employed for a minimum of 20 hours per week,"Randomised control trial design - Participants were randomly allocated to three conditions:
control (n = 20), cardiovascular exercise (n = 20), and resistance exercise (n = 9).","3 (baseline, two week, four week)",Introducing cardiovascular and resistance exercise to a sedentary population,Secondary,Wait list,Wave 1 = 32 ; Wave 2 = 29; Wave 3 = 29,Wave 1 = 20; Wave 2 = 20; Wave 3 = 20,F value,2.49,not mentioned,not mentioned,p > .05,NA,NA,NA,NA,15.28,-3.46 Change over 4 weeks,17.3,-1.5 Change over 4 weeks,Subjective Exercise Experience Scale,"Participants were 58 volunteers from
the Tamworth and Armidale locality (Males n = 15, Females n = 43). Participants’ job status was similar, with all but three participants being employed or studying for a minimum of 20 hours per week.",8 weeks,
Bretland_2015_7a,Fatigue,Fatigue reduction,Rachel Judith Bretland,2015,,not mentioned,employed for a minimum of 20 hours per week,"Randomised control trial design - Participants were randomly allocated to three conditions:
control (n = 20), cardiovascular exercise (n = 20), and resistance exercise (n = 9).","3 (baseline, two week, four week)",Introducing cardiovascular and resistance exercise to a sedentary population,Secondary,Wait list,Wave 1 = 32 ; Wave 2 = 29; Wave 3 = 29,Wave 1 = 20; Wave 2 = 20; Wave 3 = 20,t value,-0.98,not mentioned,not mentioned,p > .05,NA,NA,NA,NA,15.28,-3.46 Change over 4 weeks,17.3,-1.5 Change over 4 weeks,Subjective Exercise Experience Scale,"Participants were 58 volunteers from
the Tamworth and Armidale locality (Males n = 15, Females n = 43). Participants’ job status was similar, with all but three participants being employed or studying for a minimum of 20 hours per week.",8 weeks,
Bretland_2015_6b,Psychological Distress,Psychological Distress reduction,Rachel Judith Bretland,2015,,not mentioned,employed for a minimum of 20 hours per week,"Randomised control trial design - Participants were randomly allocated to three conditions:
control (n = 20), cardiovascular exercise (n = 20), and resistance exercise (n = 9).","3 (baseline, two week, four week)",Introducing cardiovascular and resistance exercise to a sedentary population,Secondary,Wait list,Wave 1 = 32 ; Wave 2 = 29; Wave 3 = 29,Wave 1 = 20; Wave 2 = 20; Wave 3 = 20,F value,9.45,not mentioned,not mentioned,p < .05,NA,NA,NA,NA,10.48,-4.38 Change over 4 weeks,10.15,-0.5 Change over 4 weeks,Subjective Exercise Experience Scale,"Participants were 58 volunteers from
the Tamworth and Armidale locality (Males n = 15, Females n = 43). Participants’ job status was similar, with all but three participants being employed or studying for a minimum of 20 hours per week.",8 weeks,
Bretland_2015_6a,Psychological Distress,Psychological Distress reduction,Rachel Judith Bretland,2015,,not mentioned,employed for a minimum of 20 hours per week,"Randomised control trial design - Participants were randomly allocated to three conditions:
control (n = 20), cardiovascular exercise (n = 20), and resistance exercise (n = 9).","3 (baseline, two week, four week)",Introducing cardiovascular and resistance exercise to a sedentary population,Secondary,Wait list,Wave 1 = 32 ; Wave 2 = 29; Wave 3 = 29,Wave 1 = 20; Wave 2 = 20; Wave 3 = 20,t value,-2.56,not mentioned,not mentioned,p < .05,NA,NA,NA,NA,10.48,-4.38 Change over 4 weeks,10.15,-0.5 Change over 4 weeks,Subjective Exercise Experience Scale,"Participants were 58 volunteers from
the Tamworth and Armidale locality (Males n = 15, Females n = 43). Participants’ job status was similar, with all but three participants being employed or studying for a minimum of 20 hours per week.",8 weeks,
Bretland_2015_5b,PositiveWell-being,PositiveWell-being enhancement,Rachel Judith Bretland,2015,"volunteers with a sedentary lifestyle from
the Tamworth and Armidale locality",not mentioned,employed for a minimum of 20 hours per week,"Randomised control trial design - Participants were randomly allocated to three conditions:
control (n = 20), cardiovascular exercise (n = 20), and resistance exercise (n = 9).","3 (baseline, two week, four week)",Introducing cardiovascular and resistance exercise to a sedentary population,Secondary,Wait list,Wave 1 = 32 ; Wave 2 = 29; Wave 3 = 29,Wave 1 = 20; Wave 2 = 20; Wave 3 = 20,F value,27.07,not mentioned,not mentioned,p < .001,NA,NA,NA,NA,15.62,6.08 Change over 4 weeks,15.5,0.1 Change over 4 weeks,Subjective Exercise Experience Scale,"Participants were 58 volunteers from
the Tamworth and Armidale locality (Males n = 15, Females n = 43). Participants’ job status was similar, with all but three participants being employed or studying for a minimum of 20 hours per week.",8 weeks,
Bretland_2015_5a,PositiveWell-being,PositiveWell-being enhancement,Rachel Judith Bretland,2015,"volunteers with a sedentary lifestyle from
the Tamworth and Armidale locality",not mentioned,employed for a minimum of 20 hours per week,"Randomised control trial design - Participants were randomly allocated to three conditions:
control (n = 20), cardiovascular exercise (n = 20), and resistance exercise (n = 9).","3 (baseline, two week, four week)",Introducing cardiovascular and resistance exercise to a sedentary population,Secondary,Wait list,Wave 1 = 32 ; Wave 2 = 29; Wave 3 = 29,Wave 1 = 20; Wave 2 = 20; Wave 3 = 20,t value,4.38,not mentioned,not mentioned,p < .001,NA,NA,NA,NA,15.62,6.08 Change over 4 weeks,15.5,0.1 Change over 4 weeks,Subjective Exercise Experience Scale,"Participants were 58 volunteers from
the Tamworth and Armidale locality (Males n = 15, Females n = 43). Participants’ job status was similar, with all but three participants being employed or studying for a minimum of 20 hours per week.",8 weeks,
